player_id,from_club_id,to_club_id
467994,5621,749
645842,6505,19684
677470,6505,3535
709155,6505,19684
728133,6505,35759
730364,6505,38898
746780,6505,2996
755355,6505,30925
862094,6505,21459
929007,6505,19684
784335,6505,6502
402135,6505,515
716435,6505,515
63463,206,123
422281,159,449
426781,35387,25444
622722,257,80
641765,41061,952
659352,541,26
726526,448,276
803933,4467,14
842479,9,43
863745,242,26
995045,3733,2698
1045344,200,15
1052439,209,631
1061045,2074,452
1072837,5546,377
1077560,3060,683
1154876,798,39
1216111,6028,2431
654693,6505,3535
677477,6505,46292
709742,6505,6504
842229,6505,31622
992530,6505,31622
1219185,6505,3535
567148,1192,43
739277,42055,589
402151,6505,21459
639040,6505,311
765944,6505,2996
777484,6505,78388
875804,6505,311
876295,6505,78388
1004326,6505,6500
1043003,114,405
1233166,24575,433
417084,6600,515
910309,23896,3828
936342,41027,3828
1225755,1234,2125
1291255,50376,1066
1411562,41362,6632
1412713,23897,3958
1495310,26644,9597
1517172,25248,6632
1527143,24113,672
103381,3876,221
123487,7136,14555
140470,10694,1180
140811,679,10870
162812,585,10010
176585,1180,36596
178107,31284,1029
205041,10010,2462
216730,1829,1030
218371,11334,970
229736,2462,585
244275,221,609
248352,1030,2433
255910,6456,708
262999,8172,218
266809,1234,7633
266906,2350,17222
271880,2433,7020
282727,49283,605
284342,1418,209
288609,4941,2407
292985,1029,2350
294843,2417,7097
311182,17776,15172
322190,12454,3938
323934,199,10870
333159,10997,221
340840,11141,10870
342149,14602,2063
346065,776,2462
350342,776,28022
354666,36596,13353
360412,2063,8590
363173,10997,614
370678,6495,11854
371996,6600,2410
373714,17425,531
385271,199,614
387611,3631,2462
401533,2029,2423
401576,2402,209
401913,12179,2672
406766,609,1023
407517,1829,1030
409272,1418,2402
411294,2996,25449
413983,3938,49283
415550,12454,1030
417084,776,6600
422801,602,10301
423705,12179,1030
432166,2125,8793
432953,3631,1023
439072,209,614
439437,14687,1030
439626,9961,3938
439627,31284,928
439629,11648,3938
440312,6593,2417
440658,585,537
440865,14602,1070
441385,25184,189
441422,11648,1418
457218,25184,189
457221,1029,3302
458251,3876,6631
462977,605,978
466336,537,585
468174,6600,199
468256,2035,16655
474589,978,141
477458,1286,1234
480764,1829,3938
